
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 12: 0
====== Angle Number  2 of 12: 1.636364e+01
====== Angle Number  3 of 12: 3.272727e+01
====== Angle Number  4 of 12: 4.909091e+01
====== Angle Number  5 of 12: 6.545455e+01
====== Angle Number  6 of 12: 8.181818e+01
====== Angle Number  7 of 12: 9.818182e+01
====== Angle Number  8 of 12: 1.145455e+02
====== Angle Number  9 of 12: 1.309091e+02
====== Angle Number  10 of 12: 1.472727e+02
====== Angle Number  11 of 12: 1.636364e+02
====== Angle Number  12 of 12: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 30
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 1.000000, TempBeta = 0.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
   0      1      0    1.09005661e+01    3.74393554e+07    1.09005661e+01    5.3e-01     1.0e+00      2.570e+00
   1      2      2    9.55070809e-02    1.45636166e+07     9.55070809e-02    6.1e-02     1.0e+00      1.723e+00
   2      3      4    6.77670665e-03    2.73777206e+07     6.77670665e-03    1.4e-02     1.0e+00      1.691e+00
   3      4      8    5.65314291e-04    3.05854401e+07     5.65314291e-04    1.9e-03     1.0e+00      1.680e+00
   4      5     14    8.42617935e-05    2.99293065e+07     8.42617935e-05    5.3e-04     1.0e+00      1.677e+00
   5      6     23    2.84413639e-05    2.96509445e+07     2.84413639e-05    3.4e-04     1.0e+00      1.674e+00
   6      7     33    1.59974569e-05    2.97204173e+07     1.59974569e-05    1.6e-04     1.0e+00      1.673e+00
   7      8     36    1.43428040e-05    2.96986397e+07     1.43428040e-05    9.0e-05     1.0e+00      1.673e+00
   8      9     46    7.33192735e-06    2.95443794e+07     7.33192735e-06    1.3e-04     1.0e+00      1.670e+00
   9     10     49    6.23299247e-06    2.95423276e+07     6.23299247e-06    6.0e-05     1.0e+00      1.670e+00
  10     11     59    4.99951452e-06    2.95441165e+07     4.99951452e-06    6.6e-05     1.0e+00      1.669e+00
  11     12     69    4.22801447e-06    2.95220223e+07     4.22801447e-06    4.0e-05     1.0e+00      1.669e+00
  12     13     79    3.69541858e-06    2.95140355e+07     3.69541858e-06    4.8e-05     1.0e+00      1.669e+00
  13     14     89    3.28680953e-06    2.94969591e+07     3.28680953e-06    3.1e-05     1.0e+00      1.668e+00
  14     15     94    3.10953969e-06    2.95033915e+07     3.10953969e-06    2.4e-05     1.0e+00      1.668e+00
  15     16    104    2.26917730e-06    2.94190054e+07     2.26917730e-06    2.2e-04     1.0e+00      1.667e+00
  16     17    111    1.73841525e-06    2.94140310e+07     1.73841525e-06    2.0e-05     1.0e+00      1.666e+00
  17     18    121    1.61884195e-06    2.94017651e+07     1.61884195e-06    2.6e-05     1.0e+00      1.666e+00
  18     19    131    1.52190708e-06    2.93961088e+07     1.52190708e-06    1.4e-05     1.0e+00      1.666e+00
  19     20    141    1.44068528e-06    2.93923419e+07     1.44068528e-06    2.3e-05     1.0e+00      1.666e+00
  20     21    145    1.40126905e-06    2.93945642e+07     1.40126905e-06    1.8e-05     1.0e+00      1.666e+00
  21     22    155    1.31102009e-06    2.93767470e+07     1.31102009e-06    2.9e-05     1.0e+00      1.666e+00
  22     23    162    1.24365212e-06    2.93793613e+07     1.24365212e-06    7.5e-06     1.0e+00      1.666e+00
  23     24    172    1.08675237e-06    2.93591740e+07     1.08675237e-06    5.2e-05     1.0e+00      1.665e+00
  24     25    177    9.74723032e-07    2.93594976e+07     9.74723032e-07    1.5e-05     1.0e+00      1.665e+00
  25     26    187    9.06875704e-07    2.93526161e+07     9.06875704e-07    2.2e-05     1.0e+00      1.665e+00
  26     27    193    8.57602644e-07    2.93519517e+07     8.57602644e-07    8.2e-06     1.0e+00      1.665e+00
  27     28    203    7.76956961e-07    2.93416705e+07     7.76956961e-07    4.6e-05     1.0e+00      1.664e+00
  28     29    205    7.43997276e-07    2.93442136e+07     7.43997276e-07    1.8e-05     1.0e+00      1.664e+00
  29     30    211    7.02599866e-07    2.93487768e+07     7.02599866e-07    4.8e-06     1.0e+00      1.664e+00
  30     31    221    6.68971007e-07    2.93447671e+07     6.68971007e-07    1.1e-05     1.0e+00      1.664e+00
  31     32    226    6.50865477e-07    2.93458522e+07     6.50865477e-07    1.0e-05     1.0e+00      1.664e+00
  32     33    236    6.20600923e-07    2.93472725e+07     6.20600923e-07    9.5e-06     1.0e+00      1.664e+00
  33     34    246    5.94073331e-07    2.93471724e+07     5.94073331e-07    5.0e-06     1.0e+00      1.664e+00
  34     35    256    5.71801229e-07    2.93446829e+07     5.71801229e-07    8.2e-06     1.0e+00      1.664e+00
  35     36    262    5.55946907e-07    2.93480492e+07     5.55946907e-07    6.9e-06     1.0e+00      1.664e+00
  36     37    272    5.08099464e-07    2.93406168e+07     5.08099464e-07    2.0e-05     1.0e+00      1.663e+00
  37     38    275    4.85975975e-07    2.93437089e+07     4.85975975e-07    1.0e-05     1.0e+00      1.663e+00
  38     39    281    4.68124232e-07    2.93454254e+07     4.68124232e-07    3.1e-06     1.0e+00      1.663e+00
  39     40    291    4.06347706e-07    2.93475072e+07     4.06347706e-07    2.5e-05     1.0e+00      1.663e+00
  40     41    296    3.68195153e-07    2.93461524e+07     3.68195153e-07    1.1e-05     1.0e+00      1.663e+00
  41     42    305    3.55430097e-07    2.93443529e+07     3.55430097e-07    3.4e-06     1.0e+00      1.663e+00
  42     43    315    3.40690140e-07    2.93428096e+07     3.40690140e-07    9.8e-06     1.0e+00      1.663e+00
  43     44    318    3.32845987e-07    2.93437450e+07     3.32845987e-07    6.8e-06     1.0e+00      1.663e+00
  44     45    325    3.27298012e-07    2.93436107e+07     3.27298012e-07    3.5e-06     1.0e+00      1.663e+00
  45     46    330    3.23973758e-07    2.93434963e+07     3.23973758e-07    4.1e-06     1.0e+00      1.663e+00
